longitude,latitude,class
4.57065,36.53128,1
4.59377,36.53276,1
4.58294,36.53394,1
4.57736,36.53454,1
4.56589,36.53578,1
4.57155,36.53516,1
4.59456,36.53665,1
4.58925,36.53723,1
4.58388,36.53782,1
4.57246,36.53905,1
4.59532,36.54055,1
4.58995,36.54113,1
4.58457,36.54171,1
4.59065,36.54503,1
4.58518,36.54563,1
7.20683,34.36829,1
-0.28101,35.52908,1
6.38128,36.72844,1
3.04325,36.7822,1
4.58998,36.54253,1
6.37619,36.73105,1
6.38047,36.73173,1
6.377,36.72776,1
4.85895,36.09288,1
2.89202,36.59692,1
3.86368,35.6678,1
-0.2141,35.80351,1
2.72944,36.42179,1
3.5849,36.55678,1
0.37388,35.9315,1
-0.25469,35.77309,1
2.83934,36.49262,1
2.8342,36.4912,1
2.83047,36.49393,1
2.83559,36.49537,1
3.30841,36.69617,1
4.21252,36.64793,1
5.13236,36.33793,1
5.13619,36.33711,1
6.58603,35.97941,1
5.13739,36.3381,1
5.13242,36.33499,1
1.35646,35.34062,1
5.24491,36.52194,1
5.89041,36.03899,1
5.8883,36.03839,1
5.89481,36.04032,1
6.88327,34.40448,1
6.28549,36.35205,1
6.43967,36.39861,1
6.43569,36.39833,1
6.43935,36.39598,1
6.43535,36.39573,1
6.43866,36.40109,1
3.25365,36.63091,1
2.71122,36.57147,1
4.8618,36.09037,1
6.29246,36.70115,1
6.29136,36.69781,1
3.32843,36.75716,1
1.3578,35.33994,1
4.47881,35.70778,1
7.73488,36.30766,1
7.73015,36.3072,1
7.72984,36.31142,1
7.73276,36.30403,1
7.73235,36.30824,1
7.6193,36.37384,1
7.61468,36.37339,1
7.84103,36.71569,1
6.13259,35.8063,1
7.13143,35.44246,1
6.29435,36.77642,1
7.99599,36.28519,1
5.30812,36.02153,1
5.30719,36.01834,1
6.02967,35.86686,1
5.96059,36.60947,1
5.88399,34.4395,1
6.02467,35.86668,1
6.51413,36.28988,1
7.86456,36.82772,1
3.24687,36.22735,1
3.95947,36.77359,1
3.95577,36.77264,1
3.95744,36.77853,1
3.32381,33.12528,1
5.77475,36.45286,1
3.95994,36.77414,1
3.25761,36.63265,1
3.25479,36.6321,1
5.77186,36.45974,1
5.77383,36.46015,1
5.77658,36.45329,1
8.16883,35.23549,1
5.70837,34.98248,1
8.2681,36.37934,1
8.2685,36.37819,1
6.58394,35.98108,1
3.8964,36.40698,1
2.88131,36.59835,1
8.17237,35.23018,1
8.27423,36.37732,1
8.27061,36.37823,1
1.35743,35.33776,1
8.27419,36.3788,1
7.19122,36.29572,1
7.18901,36.30113,1
7.18411,36.29982,1
6.56199,37.0166,1
4.46653,36.86497,1
3.05126,36.6305,1
3.04825,36.63224,1
6.56613,37.01773,1
8.16277,36.36278,1
8.27676,36.3736,1
8.27151,36.37339,1
8.27792,36.37984,1
8.27213,36.3796,1
8.27622,36.37285,1
8.27757,36.37908,1
8.27184,36.37888,1
7.87914,36.39481,1
4.59275,36.49107,1
3.25568,36.63084,1
3.25353,36.6328,1
4.4695,36.86013,1
4.46586,36.85988,1
6.55672,37.01603,1
6.55493,37.02053,1
6.55826,37.01899,1
6.56491,37.02149,1
8.2791,36.36565,1
6.56157,37.02299,1
6.56692,37.02195,1
7.87185,36.39705,1
8.25894,36.36163,1
8.2639,36.36058,1
