longitude,latitude,class
2.74834,36.47523,1
6.23335,31.69269,1
6.46968,32.13528,1
6.97654,32.35645,1
6.9831,32.36077,1
6.9732,32.3539,1
6.97974,32.3582,1
6.97526,32.35938,1
6.64614,32.59885,1
5.95631,31.70455,1
4.99755,31.94118,1
6.78664,31.19138,1
6.78467,31.18577,1
6.78768,31.19007,1
6.78568,31.18447,1
6.04956,31.35982,1
8.26147,30.61013,1
7.02592,30.4739,1
7.02098,30.47521,1
7.02156,30.47107,1
7.02648,30.4698,1
9.35114,28.44253,1
6.98151,32.35857,1
7.0284,30.47429,1
7.02829,30.47073,1
6.7864,31.18967,1
6.04869,31.3505,1
6.18278,31.56295,1
5.00159,31.94243,1
6.97828,32.35855,1
6.98289,32.35977,1
6.97688,32.35738,1
6.98614,32.35976,1
5.80695,31.73593,1
8.64728,31.23523,1
7.02837,30.46783,1
7.02489,30.47101,1
7.02996,30.47133,1
7.50404,28.61222,1
6.78854,31.18844,1
6.78728,31.18517,1
6.79232,31.18549,1
6.05486,31.35537,1
6.18653,31.56201,1
5.92393,31.42407,1
5.92599,31.42732,1
9.86739,27.67629,1
2.25469,35.40852,1
6.7866,31.18706,1
6.78789,31.19139,1
6.05273,31.36016,1
6.64779,32.59723,1
6.97772,32.35611,1
6.4694,32.13608,1
4.99662,31.94023,1
9.76907,28.27022,1
9.76824,28.26918,1
7.02569,30.47094,1
8.25898,30.61181,1
8.25837,30.61022,1
0.46184,27.80028,1
6.33416,36.67313,1
5.71615,36.42075,1
8.26387,30.60901,1
7.02841,30.47003,1
7.02544,30.47144,1
3.14589,32.94306,1
6.97936,32.35322,1
6.47127,32.13606,1
5.46441,32.00916,1
5.00048,31.93918,1
6.14989,31.82115,1
6.18303,31.6998,1
6.81597,31.53681,1
6.05247,31.35788,1
5.87524,31.16949,1
6.78699,31.18711,1
